country,us_2024_deficit,us_2024_exports,us_2024_imports,trump_tariffs_alleged,trump_response,population,export_by_import
Tokelau (-),104,229.0,225.0,10%,10%,0.0,101.77777777777777
Tonga,17.1,19.9,2.8,10%,10%,104597.0,710.7142857142857
Turkmenistan,67.6,82.2,14.6,10%,10%,7364438.0,563.013698630137
Turks and Caicos Islands,702.6,713.6,11.0,10%,10%,46198.0,6487.272727272728
Tuvalu (-),106,226.0,222.0,10%,10%,9816.0,101.8018018018018
Uganda,-26.3,106.3,132.6,20%,10%,48656601.0,80.1659125188537
Uzbekistan,338.4,380.8,42.4,10%,10%,35652307.0,898.1132075471698
Vanuatu,-6.1,7.6,13.7,45%,22%,320409.0,55.47445255474452
Vatican City (-),112,223.0,226.0,10%,10%,0.0,98.67256637168141
West Bank Administered by Israel,-2.3,3.7,6.0,38%,19%,0.0,61.66666666666667
Yemen,125.2,134.1,8.9,10%,10%,39390799.0,1506.7415730337077
Zambia,-55.3,113.8,169.1,33%,16%,20723965.0,67.29745712596097
Zimbabwe,-24.1,43.8,67.8,36%,18%,16340822.0,64.60176991150442
